http://purl.obolibrary.org/obo/CL_0002322	#	embryonic stem cell
http://purl.obolibrary.org/obo/PATO_0000384	#	male
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://purl.obolibrary.org/obo/CL_0002322	#	embryonic stem cell
http://purl.obolibrary.org/obo/PATO_0000461	#	normal
http://purl.obolibrary.org/obo/UBERON_0000922	#	embryo
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://purl.obolibrary.org/obo/UBERON_0000087	#	inner cell mass
http://www.ebi.ac.uk/efo/EFO_0000606	#	C57BL/6J
http://purl.obolibrary.org/obo/PATO_0000383	#	female
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://purl.obolibrary.org/obo/UBERON_0001911	#	mammary gland
http://www.ebi.ac.uk/efo/EFO_0002660	#	primary cell
http://purl.obolibrary.org/obo/PATO_0000461	#	normal
http://purl.obolibrary.org/obo/CL_0000136	#	adipocyte
http://www.ebi.ac.uk/efo/EFO_0001461	#	none
http://purl.obolibrary.org/obo/CL_0002334	#	preadipocyte
http://purl.obolibrary.org/obo/UBERON_0001013	#	adipose tissue
http://purl.obolibrary.org/obo/CL_0002334	#	preadipocyte
http://purl.obolibrary.org/obo/PATO_0000461	#	normal
http://www.ebi.ac.uk/efo/EFO_0001272	#	adult
http://purl.obolibrary.org/obo/PATO_0000384	#	male
http://www.ebi.ac.uk/efo/EFO_0002508	#	Parkinson's disease
http://purl.obolibrary.org/obo/CL_0000700	#	dopaminergic neuron
http://www.ebi.ac.uk/efo/EFO_0004905	#	induced pluripotent stem cell
http://purl.obolibrary.org/obo/PATO_0000383	#	female
http://purl.obolibrary.org/obo/UBERON_0000014	#	skin
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://www.ebi.ac.uk/efo/EFO_0000519	#	glioblastoma
http://purl.obolibrary.org/obo/UBERON_0000955	#	brain
http://www.ebi.ac.uk/efo/EFO_0001461	#	none
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://purl.obolibrary.org/obo/CL_0000623	#	natural killer cell
http://purl.obolibrary.org/obo/CL_0001069	#	group 2 innate lymphoid cell
http://purl.obolibrary.org/obo/CL_0001067	#	group 1 innate lymphoid cell
http://www.ebi.ac.uk/efo/EFO_0003918	#	obstructive sleep apnea syndrome
http://purl.obolibrary.org/obo/UBERON_0002372	#	tonsil
http://purl.obolibrary.org/obo/CL_0001071	#	group 3 innate lymphoid cell
http://purl.obolibrary.org/obo/PATO_0000384	#	male
http://purl.obolibrary.org/obo/UBERON_0002436	#	primary visual cortex
http://www.ebi.ac.uk/efo/EFO_0001272	#	adult
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://www.ebi.ac.uk/efo/EFO_0000606	#	C57BL/6J
http://purl.obolibrary.org/obo/UBERON_0000956	#	cortex
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://www.ebi.ac.uk/efo/EFO_1000294	#	HER2 positive breast carcinoma
http://www.ebi.ac.uk/efo/EFO_0000305	#	breast carcinoma
http://purl.obolibrary.org/obo/UBERON_0000029	#	lymph node
http://www.ebi.ac.uk/efo/EFO_0004906	#	metastasis to lymph node
http://purl.obolibrary.org/obo/CHEBI_2365	#	ABA
http://purl.obolibrary.org/obo/UBERON_0000922	#	embryo
http://purl.obolibrary.org/obo/NCBITaxon_6239	#	Caenorhabditis elegans
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://purl.obolibrary.org/obo/PATO_0000383	#	female
http://purl.obolibrary.org/obo/HANCESTRO_0487	#	Asian Indian
http://purl.obolibrary.org/obo/CL_0000169	#	type B pancreatic cell
http://purl.obolibrary.org/obo/PATO_0000384	#	male
http://purl.obolibrary.org/obo/HANCESTRO_0568	#	African American
http://purl.obolibrary.org/obo/PATO_0000461	#	normal
http://purl.obolibrary.org/obo/CL_0000173	#	pancreatic D cell
http://purl.obolibrary.org/obo/PATO_0000383	#	female
http://purl.obolibrary.org/obo/UBERON_0000006	#	islet of Langerhans
http://www.ebi.ac.uk/efo/EFO_0000712	#	stroke
http://purl.obolibrary.org/obo/CL_0000171	#	pancreatic A cell
http://purl.obolibrary.org/obo/PATO_0001422	#	post-mortem
http://www.ebi.ac.uk/efo/EFO_0001360	#	type II diabetes mellitus
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://purl.obolibrary.org/obo/HANCESTRO_0005	#	Caucasian
http://purl.obolibrary.org/obo/HANCESTRO_0014	#	Hispanic
http://purl.obolibrary.org/obo/CL_0002275	#	pancreatic PP cell
http://purl.obolibrary.org/obo/UBERON_0002371	#	bone marrow
http://purl.obolibrary.org/obo/CL_0002034	#	long term hematopoietic stem cell
http://www.ebi.ac.uk/efo/EFO_0004472	#	C57BL/6
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://purl.obolibrary.org/obo/PATO_0000383	#	female
http://purl.obolibrary.org/obo/CL_0000171	#	pancreatic A cell
http://purl.obolibrary.org/obo/PATO_0000384	#	male
http://purl.obolibrary.org/obo/UBERON_0000006	#	islet of Langerhans
http://www.ebi.ac.uk/efo/EFO_0000586	#	mesenchymal cell
http://purl.obolibrary.org/obo/HANCESTRO_0005	#	Caucasian
http://purl.obolibrary.org/obo/PATO_0000383	#	female
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://purl.obolibrary.org/obo/PATO_0000461	#	normal
http://purl.obolibrary.org/obo/HANCESTRO_0568	#	African American
http://www.ebi.ac.uk/efo/EFO_0000712	#	stroke
http://purl.obolibrary.org/obo/CL_0002079	#	pancreatic ductal cell
http://purl.obolibrary.org/obo/CL_0000622	#	acinar cell
http://purl.obolibrary.org/obo/CL_0000173	#	pancreatic D cell
http://purl.obolibrary.org/obo/HANCESTRO_0008	#	Asian
http://purl.obolibrary.org/obo/CL_0000169	#	type B pancreatic cell
http://www.ebi.ac.uk/efo/EFO_0001461	#	none
http://purl.obolibrary.org/obo/CL_0002453	#	oligodendrocyte precursor cell
http://www.ebi.ac.uk/efo/EFO_0000519	#	brain glioblastoma
http://purl.obolibrary.org/obo/CL_0000540	#	neuron
http://purl.obolibrary.org/obo/CL_0001063	#	neoplastic cell
http://purl.obolibrary.org/obo/CL_0000128	#	oligodendrocyte
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://www.ebi.ac.uk/efo/EFO_0000616	#	tumor
http://purl.obolibrary.org/obo/UBERON_0000955	#	brain
http://purl.obolibrary.org/obo/CL_0000127	#	astrocyte
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://www.ebi.ac.uk/efo/EFO_0000768	#	idiopathic pulmonary fibrosis
http://purl.obolibrary.org/obo/CL_0000066	#	epithelial cell
http://purl.obolibrary.org/obo/PATO_0000461	#	normal
http://purl.obolibrary.org/obo/UBERON_0002048	#	lung
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://purl.obolibrary.org/obo/UBERON_0002371	#	bone marrow
http://purl.obolibrary.org/obo/UBERON_0000178	#	blood
http://purl.obolibrary.org/obo/CL_0000451	#	conventional dendritic cell
http://purl.obolibrary.org/obo/CL_0002010	#	pre-conventional dendritic cell
http://purl.obolibrary.org/obo/UBERON_0012168	#	umbilical cord blood
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://purl.obolibrary.org/obo/UBERON_0000310	#	breast
http://www.ebi.ac.uk/efo/EFO_0000616	#	primary tumor
http://www.ebi.ac.uk/efo/EFO_0005537	#	triple-negative breast cancer
http://purl.obolibrary.org/obo/UBERON_0001068	#	skin of back
http://www.ebi.ac.uk/efo/EFO_0000606	#	C57BL/6J
http://www.ebi.ac.uk/efo/EFO_0001271	#	mixed sex
http://www.ebi.ac.uk/efo/EFO_0005180	#	CD1
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://www.ebi.ac.uk/efo/EFO_0001461	#	none
http://purl.obolibrary.org/obo/NCBITaxon_6339	#	Heligmosomoides polygyrus
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://purl.obolibrary.org/obo/CL_0000066	#	epithelial cell
http://purl.obolibrary.org/obo/CL_0000160	#	goblet cell
http://purl.obolibrary.org/obo/CL_0000510	#	paneth cell
http://purl.obolibrary.org/obo/CL_0000034	#	stem cell
http://purl.obolibrary.org/obo/CL_0000163	#	endocrine cell
http://www.ebi.ac.uk/efo/EFO_0000606	#	C57BL/6J
http://purl.obolibrary.org/obo/NCBITaxon_28901	#	Salmonella enterica
http://purl.obolibrary.org/obo/UBERON_0002108	#	small intestine
http://purl.obolibrary.org/obo/CL_0002204	#	tuft cell
http://purl.obolibrary.org/obo/CL_0000584	#	enterocyte
http://purl.obolibrary.org/obo/CL_0000034	#	stem cell
http://www.ebi.ac.uk/efo/EFO_0000606	#	C57BL/6J
http://purl.obolibrary.org/obo/CL_0000163	#	endocrine cell
http://purl.obolibrary.org/obo/CL_0000510	#	paneth cell
http://purl.obolibrary.org/obo/CL_0000066	#	epithelial cell
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://purl.obolibrary.org/obo/CL_0002204	#	tuft cell
http://purl.obolibrary.org/obo/UBERON_0002108	#	small intestine
http://purl.obolibrary.org/obo/CL_0000160	#	goblet cell
http://purl.obolibrary.org/obo/CL_0000584	#	enterocyte
http://www.ebi.ac.uk/efo/EFO_0000756	#	melanoma
http://purl.obolibrary.org/obo/UBERON_0000014	#	skin
http://purl.obolibrary.org/obo/PATO_0000384	#	male
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://purl.obolibrary.org/obo/CL_0002322	#	embryonic stem cell
http://purl.obolibrary.org/obo/UBERON_0000922	#	embryo
http://purl.obolibrary.org/obo/PATO_0000384	#	male
http://purl.obolibrary.org/obo/CL_0000037	#	hematopoietic stem cell
http://www.ebi.ac.uk/efo/EFO_0001272	#	adult
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://www.ebi.ac.uk/efo/EFO_0004472	#	C57BL/6
http://www.ebi.ac.uk/efo/EFO_0004472	#	C57BL/6
http://www.ebi.ac.uk/efo/EFO_0001272	#	adult
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://purl.obolibrary.org/obo/UBERON_0002048	#	lung
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://www.ebi.ac.uk/efo/EFO_0004472	#	C57BL/6
http://www.ebi.ac.uk/efo/EFO_0001272	#	adult
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://www.ebi.ac.uk/efo/EFO_0002071	#	LNCaP
http://purl.obolibrary.org/obo/UBERON_0002367	#	prostate gland
http://purl.obolibrary.org/obo/HANCESTRO_0005	#	Caucasian
http://www.ebi.ac.uk/efo/EFO_0001461	#	none
http://purl.obolibrary.org/obo/CL_0000066	#	epithelial cell
http://purl.obolibrary.org/obo/PATO_0000384	#	male
http://purl.obolibrary.org/obo/CHEBI_379896	#	methyltrienolone
http://www.ebi.ac.uk/efo/EFO_0001663	#	prostate carcinoma
http://purl.obolibrary.org/obo/CL_0000540	#	neuron
http://purl.obolibrary.org/obo/UBERON_0000070	#	pupal stage
http://purl.obolibrary.org/obo/UBERON_0000955	#	brain
http://www.ebi.ac.uk/efo/EFO_0001271	#	mixed sex population
http://purl.obolibrary.org/obo/CL_0000127	#	astrocyte
http://purl.obolibrary.org/obo/NCBITaxon_7227	#	Drosophila melanogaster
http://purl.obolibrary.org/obo/UBERON_0002371	#	bone marrow
http://purl.obolibrary.org/obo/CL_0002034	#	long term hematopoietic stem cell
http://www.ebi.ac.uk/efo/EFO_0004472	#	C57BL/6
http://purl.obolibrary.org/obo/CL_0000837	#	hematopoietic multipotent progenitor cell
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://www.ebi.ac.uk/efo/EFO_0001461	#	none
http://purl.obolibrary.org/obo/CL_0002033	#	short term hematopoietic stem cell
http://purl.obolibrary.org/obo/CL_0000557	#	granulocyte macrophage progenitor
http://purl.obolibrary.org/obo/UBERON_0012168	#	umbilical cord blood
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://purl.obolibrary.org/obo/ZFA_0000669	#	head kidney
http://purl.obolibrary.org/obo/CL_0002419	#	mature T cell
http://purl.obolibrary.org/obo/NCBITaxon_7955	#	Danio rerio
http://purl.obolibrary.org/obo/CL_0000037	#	hematopoietic stem cell
http://purl.obolibrary.org/obo/CL_0000034	#	stem cell
http://purl.obolibrary.org/obo/NCBITaxon_6183	#	Schistosoma mansoni
http://purl.obolibrary.org/obo/PATO_0000384	#	male
http://purl.obolibrary.org/obo/NCBITaxon_10090	#	Mus musculus
http://www.ebi.ac.uk/efo/EFO_0001272	#	adult
http://purl.obolibrary.org/obo/CL_0000129	#	microglial cell
http://purl.obolibrary.org/obo/UBERON_0002421	#	hippocampus
http://purl.obolibrary.org/obo/NCBITaxon_10116	#	Rattus norvegicus
http://purl.obolibrary.org/obo/PATO_0000383	#	female
http://www.ebi.ac.uk/efo/EFO_0001342	#	Wistar
http://purl.obolibrary.org/obo/PATO_0000461	#	normal
http://purl.obolibrary.org/obo/CL_2000001	#	peripheral blood mononuclear cell
http://purl.obolibrary.org/obo/UBERON_0000178	#	blood
http://purl.obolibrary.org/obo/NCBITaxon_9606	#	Homo sapiens
http://purl.obolibrary.org/obo/PATO_0000383	#	female
http://www.ebi.ac.uk/efo/EFO_0004472	#	C57BL/6
http://purl.obolibrary.org/obo/CL_0002028	#	basophil mast progenitor cell
http://purl.obolibrary.org/obo/UBERON_0002371	#	bone marrow
